t,x1,x2,v1,v2,a1,a2
0,2.36,3.14,-0.01,-0.01,-9.24,6.53
0.000862,2.36,3.14,-0.018,-0.00437,-9.24,6.53
0.00172,2.36,3.14,-0.0259,0.00126,-9.24,6.53
0.00259,2.36,3.14,-0.0339,0.00689,-9.24,6.53
0.00345,2.36,3.14,-0.0418,0.0125,-9.24,6.53
0.00776,2.36,3.14,-0.0817,0.0406,-9.24,6.53
0.0121,2.36,3.14,-0.121,0.0687,-9.23,6.52
0.0164,2.35,3.14,-0.161,0.0968,-9.23,6.5
0.0207,2.35,3.14,-0.201,0.125,-9.22,6.48
0.0336,2.35,3.14,-0.32,0.208,-9.2,6.4
0.0466,2.35,3.15,-0.439,0.291,-9.16,6.29
0.0596,2.34,3.15,-0.558,0.371,-9.1,6.14
0.0725,2.33,3.16,-0.675,0.45,-9.04,5.95
0.082,2.32,3.16,-0.761,0.505,-8.99,5.79
0.0915,2.32,3.17,-0.846,0.559,-8.93,5.6
0.101,2.31,3.17,-0.93,0.611,-8.86,5.4
0.11,2.3,3.18,-1.01,0.661,-8.8,5.18
0.12,2.29,3.19,-1.1,0.709,-8.72,4.94
0.129,2.28,3.19,-1.18,0.755,-8.65,4.68
0.139,2.27,3.2,-1.26,0.798,-8.57,4.4
0.148,2.25,3.21,-1.34,0.838,-8.5,4.1
0.157,2.24,3.22,-1.42,0.874,-8.43,3.8
0.166,2.23,3.22,-1.49,0.907,-8.36,3.48
0.176,2.21,3.23,-1.57,0.937,-8.29,3.15
0.185,2.2,3.24,-1.64,0.964,-8.23,2.8
0.194,2.18,3.25,-1.72,0.989,-8.17,2.42
0.203,2.17,3.26,-1.8,1.01,-8.12,2.03
0.213,2.15,3.27,-1.87,1.03,-8.08,1.62
0.222,2.13,3.28,-1.95,1.04,-8.05,1.19
0.232,2.11,3.29,-2.03,1.05,-8.03,0.738
0.242,2.09,3.3,-2.11,1.05,-8.02,0.263
0.251,2.07,3.31,-2.18,1.05,-8.03,-0.23
0.261,2.05,3.32,-2.26,1.05,-8.05,-0.744
0.27,2.03,3.33,-2.33,1.04,-8.09,-1.24
0.279,2.01,3.34,-2.41,1.03,-8.15,-1.75
0.288,1.99,3.35,-2.48,1.01,-8.22,-2.28
